circuit,n_qubits,metric,distinct_circuits,median_seconds,n_seeds,distinct_values,min,max,mean,median,std,iqr,cv_pct,spread_pct,skew,kurtosis,shapiro_p
ising_n66,66,two_q,1,0.013,12,1,130.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,,,
ising_n98,98,two_q,1,0.016,12,1,194.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,,,
knn_n31,31,two_q,1,0.026,12,1,137.0,137.0,137.0,137.0,0.0,0.0,0.0,0.0,,,
knn_n41,41,two_q,1,0.033,12,1,182.0,182.0,182.0,182.0,0.0,0.0,0.0,0.0,,,
knn_n67,67,two_q,1,0.051,12,1,299.0,299.0,299.0,299.0,0.0,0.0,0.0,0.0,,,
swap_test_n41,41,two_q,1,0.033,12,1,182.0,182.0,182.0,182.0,0.0,0.0,0.0,0.0,,,
swap_test_n83,83,two_q,1,0.065,12,1,371.0,371.0,371.0,371.0,0.0,0.0,0.0,0.0,,,
wstate_n118,118,two_q,1,0.016,12,1,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,,,
wstate_n36,36,two_q,1,0.009,12,1,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
wstate_n380,380,two_q,1,0.043,12,1,758.0,758.0,758.0,758.0,0.0,0.0,0.0,0.0,,,
wstate_n76,76,two_q,1,0.013,12,1,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,,,
